"측정년","측정분기","측정지점","WQI","등급","DIN","DIP","Chl-a","저층산소포화도","투명도","pH","총대장균군","Cd","Pb","COD","DO","수온","전기전도도","염분"
"2019","1","일광","20","I","157.7","9.7","0.69","96.8","5.5","8.1","2","-","-","0.6","8.0","15.1","52","34.4"
"2019","1","장림","32","II","1,071.6","42.5","2.92","96.3","3.5","8.1","3,300","-","-","2.0","9.4","8.6","42","26.6"
"2019","1","5부두","20","I","107.0","13.4","3.75","106.6","4.0","8.3","230","-","-","0.7","9.7","10.3","53","34.9"
"2019","1","감천항","20","I","43.4","26.1","2.66","104.2","4.0","8.2","13","-","-","0.6","8.9","12.2","53","35.2"
"2019","1","남외항","20","I","73.6","14.0","1.85","98.3","4.0","8.2","2","-","-","0.2","8.5","12.6","53","35.2"
"2019","1","남천만","20","I","102.8","16.9","2.07","95.7","6.5","8.1","230","-","-","1.0","8.3","12.6","52","34.1"
"2019","1","민락동","20","I","106.5","18.1","0.91","99.3","6.0","8.2","20","-","-","0.9","8.6","12.4","52","34.2"
"2019","1","북내항","20","I","71.1","24.6","4.70","113.5","5.0","8.3","20","-","-","0.5","10.3","10.5","53","35.0"
"2019","1","북외항","20","I","76.5","25.7","3.11","111.6","5.5","8.2","5","-","-","0.1","9.6","12.1","53","35.2"
"2019","1","수영만","32","II","522.3","39.3","0.68","99.0","5.5","8.1","1,100","-","-","1.1","8.4","12.2","50","32.9"
"2019","1","신외항","20","I","105.2","14.5","1.03","100.4","2.5","8.1","2","-","-","0.9","9.3","9.3","52","34.4"
"2019","1","이기대","20","I","83.9","31.4","0.95","96.4","6.5","8.1","130","-","-","0.7","8.3","13.0","52","34.2"
"2019","1","해운대","20","I","105.2","18.8","0.80","97.9","7.0","8.1","170","-","-","1.0","8.4","12.7","52","34.1"
"2019","1","가덕대교","20","I","207.9","27.8","0.91","101.1","2.5","8.1","8","-","-","1.0","9.3","10.0","51","33.4"
"2019","1","다대포항","20","I","82.2","13.8","2.17","92.5","2.5","8.2","40","-","-","0.6","8.2","11.0","53","35.2"
"2019","1","동천하류","29","II","82.1","19.5","8.03","112.1","5.0","8.3","270","-","-","1.0","10.0","10.7","53","35.1"
"2019","1","발전소앞","20","I","193.2","24.8","2.52","102.3","4.5","8.2","780","-","-","1.4","8.9","11.7","53","34.8"
"2019","1","부산대교","20","I","66.4","19.8","1.69","106.2","5.5","8.2","110","-","-","0.3","9.3","11.7","53","35.3"
"2019","1","자갈치시장","20","I","113.1","18.4","1.72","101.2","5.7","8.2","690","-","-","0.6","8.7","12.3","54","35.1"
"2019","1","다대포어시장","30","II","196.0","30.8","1.38","86.3","3.5","8.9","78","-","-","1.3","7.8","10.1","53","35.2"
"2019","1","송도해수욕장","20","I","60.6","5.5","1.81","103.3","5.5","8.2","45","-","-","0.3","8.7","12.7","53","35.3"
"2019","1","광안리해수욕장","20","I","107.4","19.8","0.93","97.7","4.7","8.1","330","-","-","0.8","8.4","12.5","52","34.1"
"2019","1","다대포해수욕장","32","II","776.4","39.7","2.32","95.7","2.5","8.2","790","-","-","2.2","9.0","8.5","45","28.9"
"2019","1","해운대해수욕장","20","I","114.5","31.9","1.15","97.5","7.0","8.1","330","-","-","1.2","8.3","13.1","52","34.2"
"2018","4","남항","20","I","107.6","26.8","0.43","93.3","4.5","8.1","1,700","-","-","0.8","7.3","17.3","52","33.9"
"2018","4","5부두","40","III","219.1","33.2","0.33","77.2","3.0","7.9","130","-","-","0.8","6.2","16.3","52","33.9"
"2018","4","감천항","30","II","162.9","23.7","1.03","85.1","5.0","8.1","45","-","-","1.1","6.8","17.0","53","34.7"
"2018","4","남외항","20","I","63.9","12.2","1.63","95.0","5.5","8.1","2","-","-","0.8","7.7","17.2","51","33.7"
"2018","4","남천만","40","III","207.7","32.1","0.84","79.3","5.0","8.1","330","-","-","0.9","6.4","16.7","52","34.5"
"2018","4","민락동","46","III","619.0","56.7","0.60","86.4","5.5","8.1","1,100","-","-","1.4","6.6","16.9","51","33.3"
"2018","4","북내항","30","II","165.3","18.7","0.69","84.5","5.0","8.0","330","-","-","0.6","6.8","16.6","52","33.9"
"2018","4","북외항","36","III","305.8","27.7","0.90","85.7","4.0","8.0","13","-","-","0.8","6.9","16.4","52","34.0"
"2018","4","수영만","46","III","1,760.1","144.9","0.42","82.6","5.5","8.0","1,100","-","-","2.3","6.5","16.8","46","29.3"
"2018","4","이기대","42","III","312.5","44.1","1.33","84.5","3.5","8.1","130","-","-","1.1","6.9","16.8","52","34.0"
"2018","4","해운대","30","II","161.5","20.0","0.91","84.2","6.0","8.2","1,300","-","-","0.8","6.6","16.9","52","34.5"
"2018","4","다대포항","54","IV","251.6","31.6","0.50","61.6","4.5","8.0","130","-","-","0.8","5.4","16.3","52","34.7"
"2018","4","동천하류","56","IV","-","-","-","-","-","7.9","390","-","-","-","-","-","-","-"
"2018","4","발전소앞","42","III","232.5","24.0","1.33","68.8","4.5","8.1","2,300","-","-","1.4","6.0","16.7","52","34.6"
"2018","4","부산대교","40","III","132.4","16.3","0.53","77.2","5.5","8.0","130","-","-","0.6","6.4","16.5","52","34.0"
"2018","4","자갈치시장","40","III","204.7","33.1","0.20","80.9","5.0","8.0","680","-","-","0.8","6.3","16.8","52","34.0"
"2018","4","다대포어시장","66","V","387.1","58.7","0.46","55.8","5.0","8.0","1,100","-","-","1.2","4.4","16.4","52","34.3"
"2018","4","송도해수욕장","20","I","48.0","6.8","0.38","99.2","6.0","8.1","5","-","-","0.8","7.8","17.4","52","34.0"
"2018","4","광안리해수욕장","30","II","163.1","21.0","0.44","83.3","3.0","8.1","61","-","-","1.4","6.6","16.7","53","34.9"
"2018","4","해운대해수욕장","30","II","149.0","28.9","0.69","82.9","5.5","8.2","27","-","-","0.8","6.5","16.8","53","34.7"
"2018","3","장림","28","II","372.5","19.2","5.57","100.9","3.1","7.8","200","-","-","2.6","6.7","28.2","48","31.6"
"2018","3","5부두","42","III","67.9","0.0","14.93","82.6","3.1","8.4","40","-","-","1.5","8.7","28.9","49","31.9"
"2018","3","감천항","29","II","39.0","2.3","8.29","93.2","4.8","8.3","23","-","-","1.4","7.6","29.5","49","31.8"
"2018","3","남외항","30","II","8.7","4.5","1.30","86.2","5.8","8.4","2","-","-","1.7","8.0","28.4","49","31.7"
"2018","3","남천만","42","III","68.1","0.0","11.48","89.7","3.2","8.5","230","-","-","2.5","10.2","26.8","51","33.2"
"2018","3","민락동","46","III","1,205.5","78.4","3.53","88.1","4.2","8.1","1,300","-","-","2.6","6.2","26.9","46","29.9"
"2018","3","북내항","30","II","11.6","0.0","3.15","83.6","5.2","8.7","70","-","-","1.1","6.9","27.8","49","32.1"
"2018","3","북외항","30","II","34.6","2.1","3.56","88.6","3.8","8.3","33","-","-","1.4","7.0","27.9","49","32.1"
"2018","3","수영만","48","IV","1,970.3","166.7","11.43","92.7","4.1","8.1","4,900","-","-","3.1","5.1","26.5","44","28.1"
"2018","3","신외항","20","I","20.7","0.0","2.01","96.7","5.1","8.6","0","-","-","1.3","8.3","27.0","49","31.8"
"2018","3","이기대","24","II","255.1","0.0","2.81","98.1","5.2","8.3","20","-","-","1.3","6.7","26.3","50","32.7"
"2018","3","해운대","20","I","38.8","0.0","4.65","110.5","4.5","8.3","2","-","-","1.8","7.6","26.4","51","33.1"
"2018","3","가덕대교","38","III","351.1","6.7","5.94","82.2","2.9","8.1","20","-","-","3.4","7.2","28.6","35","22.2"
"2018","3","다대포항","42","III","51.7","0.0","9.88","85.0","3.2","8.3","130","-","-","2.4","7.7","29.0","49","32.1"
"2018","3","동천하류","56","IV","265.5","2.7","29.10","78.5","3.0","8.4","130","-","-","2.2","7.3","28.4","49","31.9"
"2018","3","발전소앞","32","II","53.4","0.0","16.67","90.3","4.3","8.3","170","-","-","1.4","7.6","29.3","49","31.7"
"2018","3","부산대교","20","I","74.2","0.0","2.07","98.9","4.8","8.3","1,700","-","-","1.3","6.9","27.9","49","31.7"
"2018","3","자갈치시장","29","II","7.8","0.0","8.52","108.5","5.3","8.3","1,300","-","-","1.0","7.1","27.9","50","32.6"
"2018","3","다대포어시장","52","IV","155.7","0.0","11.78","73.6","2.7","8.2","490","-","-","2.0","5.9","28.6","49","32.2"
"2018","3","송도해수욕장","20","I","7.0","0.0","2.46","93.4","5.6","8.3","0","-","-","1.3","7.5","28.3","49","31.8"
"2018","3","광안리해수욕장","32","II","143.2","0.0","11.05","96.4","3.3","8.4","0","-","-","1.9","9.6","26.9","52","34.1"
"2018","3","다대포해수욕장","20","I","9.1","0.0","5.84","103.5","4.3","8.1","45","-","-","1.3","7.0","26.6","50","32.9"
"2018","3","해운대해수욕장","20","I","15.5","0.0","2.65","103.7","4.7","8.3","0","-","-","1.0","6.9","26.5","51","33.3"
"2018","3","고리","30","II","13.6","0.0","0.16","87.1","7.1","8.4","0","-","-","1.0","6.9","28.5","53","35.1"
"2018","3","남항","30","II","70.6","0.0","3.95","87.8","4.4","8.3","460","-","-","1.4","6.4","28.1","49","32.2"
"2018","3","녹산","28","II","447.3","2.5","1.60","93.7","2.5","8.2","45","-","-","3.9","7.2","29.0","32","19.8"
"2018","3","대변","20","I","18.8","0.0","0.29","101.5","7.9","8.4","0","-","-","1.0","6.6","28.1","51","33.3"
"2018","3","신항","30","II","121.7","0.0","3.72","86.2","4.1","8.1","0","-","-","1.4","6.4","26.3","49","31.9"
"2018","3","신호","48","IV","574.0","22.6","1.34","71.5","2.7","8.4","20","-","-","4.7","7.6","29.1","25","15.5"
"2018","3","일광","20","I","14.2","0.0","0.39","91.8","6.8","8.4","0","-","-","0.8","6.9","26.6","52","34.2"
